DisorderID,OrphaCode,DisorderName,ExpertLink,TargetDisorderID,TargetOrphaCode,TargetName,RootDisorderID,RootCycle,AssociationTypeID,AssociationTypeName
90,72,Angelman syndrome,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=72,13024,98006,Rare neurologic disease,90,true,21485,Preferential parent
17575,165661,Genetic pancreatic disease,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=165661,12954,97935,Rare gastroenterologic disease,17575,true,21485,Preferential parent
102,307,Juvenile myoclonic epilepsy,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=307,13024,98006,Rare neurologic disease,102,true,21485,Preferential parent
17574,165658,Genetic gastro-esophageal disease,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=165658,12954,97935,Rare gastroenterologic disease,17574,true,21485,Preferential parent
17573,165655,Genetic intestinal disease,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=165655,12954,97935,Rare gastroenterologic disease,17573,true,21485,Preferential parent
17572,165652,Rare genetic gastroenterological disease,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=165652,12954,97935,Rare gastroenterologic disease,17572,true,21485,Preferential parent
101,1941,Juvenile absence epilepsy,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=1941,13024,98006,Rare neurologic disease,101,true,21485,Preferential parent
99,892,Von Hippel-Lindau disease,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=892,19592,250908,Rare neoplastic disease,99,true,21485,Preferential parent
17569,164823,Rare acquired aplastic anemia,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=164823,13010,97992,Rare hematologic disease,17569,true,21485,Preferential parent
97,731,Autosomal recessive polycystic kidney disease,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=731,12456,93626,Rare renal disease,97,true,21485,Preferential parent
17568,164736,Familial advanced sleep-phase syndrome,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=164736,13024,98006,Rare neurologic disease,17568,true,21485,Preferential parent
110,138,CHARGE syndrome,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=138,12469,93890,Rare developmental defect during embryogenesis,110,true,21485,Preferential parent
109,558,Marfan syndrome,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=558,13041,98023,Rare systemic or rheumatologic disease,109,true,21485,Preferential parent
106,803,Amyotrophic lateral sclerosis,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=803,13024,98006,Rare neurologic disease,106,true,21485,Preferential parent
17578,165711,Rare abdominal surgical disease,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=165711,17578,,,1424,,21485,Preferential parent
17578,165711,Rare abdominal surgical disease,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=165711,17578,,,10637,,21485,Preferential parent
17578,165711,Rare abdominal surgical disease,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=165711,17578,,,19280,,21485,Preferential parent
17578,165711,Rare abdominal surgical disease,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=165711,17578,,,20846,,21485,Preferential parent
17578,165711,Rare abdominal surgical disease,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=165711,17578,,,23373,,21485,Preferential parent
17578,165711,Rare abdominal surgical disease,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=165711,17578,,,23619,,21485,Preferential parent
17578,165711,Rare abdominal surgical disease,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=165711,17578,,,32311,,21485,Preferential parent
17577,165707,Syndromic urogenital tract malformation,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=165707,12469,93890,Rare developmental defect during embryogenesis,17577,true,21485,Preferential parent
104,100,Ataxia-telangiectasia,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=100,13024,98006,Rare neurologic disease,104,true,21485,Preferential parent
17576,165704,Non-syndromic urogenital tract malformation,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=165704,12469,93890,Rare developmental defect during embryogenesis,17576,true,21485,Preferential parent
105,733,Familial adenomatous polyposis,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=733,12954,97935,Rare gastroenterologic disease,105,true,21485,Preferential parent
118,399,Huntington disease,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=399,13024,98006,Rare neurologic disease,118,true,21485,Preferential parent
17588,165955,Wound myiasis,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=165955,10557,68416,Rare infectious disease,17588,true,21485,Preferential parent
117,501,Lafora disease,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=501,13024,98006,Rare neurologic disease,117,true,21485,Preferential parent
17589,165958,Cavitary myiasis,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=165958,10557,68416,Rare infectious disease,17589,true,21485,Preferential parent
116,870,Down syndrome,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=870,12469,93890,Rare developmental defect during embryogenesis,116,true,21485,Preferential parent
