DisorderID,OrphaCode,ExpertLink,DisorderName,DisorderType,DisorderGroup,AgeOfOnsetIDs,AgeOfOnsetNames,InheritanceTypeIDs,InheritanceTypeNames
12587,95428,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=95428,COG8-CDG,Disease,Disorder,23529,Childhood,23417,Autosomal recessive
12586,95427,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=95427,Secondary short bowel syndrome,Disease,Disorder,23557,All ages,23494,Not applicable
12584,95409,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=95409,Acute adrenal insufficiency,Clinical syndrome,Disorder,23557,All ages,23417|23494|23445,Autosomal recessive|Not applicable|X-linked dominant
12591,95432,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=95432,Primary progressive aphasia,Clinical group,Group of disorders,23543,Adult,23424|23494,Multigenic/multifactorial|Not applicable
12589,95430,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=95430,Congenital tracheomalacia,Morphological anomaly,Disorder,23522,Infancy,23487,No data available
12588,95429,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=95429,Angioma serpiginosum,Disease,Disorder,23529,Childhood,23410|23494|23431,Autosomal dominant|Not applicable|X-linked recessive
12560,94091,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=94091,Mills syndrome,Disease,Disorder,23536|23543|23529|23550,Adolescent|Adult|Childhood|Elderly,,
12561,94093,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=94093,Neuroleptic malignant syndrome,Disease,Disorder,23557,All ages,23480,Unknown
12563,94122,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=94122,"Cerebellar ataxia, Cayman type",Disease,Disorder,23522|23515,Infancy|Neonatal,23417,Autosomal recessive
12564,94124,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=94124,Spinocerebellar ataxia with axonal neuropathy type 1,Disease,Disorder,23536,Adolescent,23417,Autosomal recessive
12565,94125,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=94125,Recessive mitochondrial ataxia syndrome,Disease,Disorder,23536|23529,Adolescent|Childhood,23417,Autosomal recessive
12566,94145,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=94145,Autosomal dominant cerebellar ataxia type I,Clinical group,Group of disorders,23557,All ages,23410,Autosomal dominant
12567,94147,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=94147,Spinocerebellar ataxia type 7,Disease,Disorder,23536|23543|23529|23550|23522,Adolescent|Adult|Childhood|Elderly|Infancy,23410,Autosomal dominant
12568,94148,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=94148,Autosomal dominant cerebellar ataxia type III,Clinical group,Group of disorders,23536|23543|23529|23550,Adolescent|Adult|Childhood|Elderly,23410,Autosomal dominant
12569,94149,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=94149,Autosomal dominant cerebellar ataxia type IV,Clinical group,Group of disorders,,,23410,Autosomal dominant
12570,94150,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=94150,Anonychia congenita totalis,Clinical subtype,Subtype of disorder,,,23417,Autosomal recessive
12545,94064,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=94064,Deafness-infertility syndrome,Malformation syndrome,Disorder,23529|23522|23515,Childhood|Infancy|Neonatal,23417,Autosomal recessive
12544,94063,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=94063,12q14 microdeletion syndrome,Malformation syndrome,Disorder,23529,Childhood,23480,Unknown
12547,94066,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=94066,Severe intellectual disability-epilepsy-anal anomalies-distal phalangeal hypoplasia,Malformation syndrome,Disorder,23522|23515,Infancy|Neonatal,23417,Autosomal recessive
12546,94065,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=94065,15q24 microdeletion syndrome,Etiological subtype,Subtype of disorder,23529,Childhood,23494|23480,Not applicable|Unknown
12548,94068,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=94068,Spondyloepiphyseal dysplasia congenita,Disease,Disorder,23508|23515,Antenatal|Neonatal,23410,Autosomal dominant
12553,94083,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=94083,Partington syndrome,Malformation syndrome,Disorder,23529,Childhood,23431,X-linked recessive
12552,94080,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=94080,Non-functioning paraganglioma,Disease,Disorder,23536|23543|23529|23550,Adolescent|Adult|Childhood|Elderly,,
12555,94086,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=94086,Blue diaper syndrome,Disease,Disorder,23522|23515,Infancy|Neonatal,,
12557,94088,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=94088,Hereditary renal hypouricemia,Malformation syndrome,Disorder,23557,All ages,23417,Autosomal recessive
12556,94087,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=94087,Cytophagic histiocytic panniculitis,Disease,Disorder,23543,Adult,23480,Unknown
12559,94090,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=94090,Pseudohypoparathyroidism type 2,Disease,Disorder,23557,All ages,23494,Not applicable
12558,94089,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=94089,Pseudohypoparathyroidism type 1B,Disease,Disorder,23536|23529|23522|23515,Adolescent|Childhood|Infancy|Neonatal,23410|23494,Autosomal dominant|Not applicable
12799,96175,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=96175,Ring chromosome 11 syndrome,Malformation syndrome,Disorder,23508|23522|23515,Antenatal|Infancy|Neonatal,,
12797,96173,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=96173,Ring chromosome 9 syndrome,Malformation syndrome,Disorder,23508|23515,Antenatal|Neonatal,,
12796,96172,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=96172,Ring chromosome 3 syndrome,Malformation syndrome,Disorder,23508|23522|23515,Antenatal|Infancy|Neonatal,,
12795,96171,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=96171,Ring chromosome 2 syndrome,Malformation syndrome,Disorder,23508|23522|23515,Antenatal|Infancy|Neonatal,,
12794,96170,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=96170,Emanuel syndrome,Malformation syndrome,Disorder,23508|23515,Antenatal|Neonatal,,
12793,96169,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=96169,Koolen-De Vries syndrome,Malformation syndrome,Disorder,23508|23522|23515,Antenatal|Infancy|Neonatal,23410,Autosomal dominant
12792,96168,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=96168,Monosomy 13q34 syndrome,Malformation syndrome,Disorder,23508|23515,Antenatal|Neonatal,23494,Not applicable
12791,96167,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=96167,Recombinant 8 syndrome,Malformation syndrome,Disorder,23522|23515,Infancy|Neonatal,23480,Unknown
12784,96160,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=96160,Non-distal deletion 12q syndrome,Malformation syndrome,Disorder,23515,Neonatal,,
12774,96150,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=96150,Distal deletion 14q syndrome,Malformation syndrome,Disorder,23515,Neonatal,,
12772,96148,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=96148,Distal deletion 10q syndrome,Malformation syndrome,Disorder,23508|23515,Antenatal|Neonatal,23494|23480,Not applicable|Unknown
