DisorderID,OrphaCode,ExpertLink,DisorderName,DisorderType,DisorderGroup,AgeOfOnsetIDs,AgeOfOnsetNames,InheritanceTypeIDs,InheritanceTypeNames
21930,329336,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=329336,Adult-onset chronic progressive external ophthalmoplegia with mitochondrial myopathy,Disease,Disorder,23543,Adult,23410|23438,Autosomal dominant|Mitochondrial inheritance
21911,329228,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=329228,Microcephalic primordial dwarfism due to ZNF335 deficiency,Malformation syndrome,Disorder,23508|23515,Antenatal|Neonatal,23417,Autosomal recessive
21910,329224,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=329224,Schuurs-Hoeijmakers syndrome,Malformation syndrome,Disorder,23508|23522|23515,Antenatal|Infancy|Neonatal,23410,Autosomal dominant
21909,329217,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=329217,Cerebral sinovenous thrombosis,Disease,Disorder,23557,All ages,,
21908,329211,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=329211,Autosomal dominant neovascular inflammatory vitreoretinopathy,Disease,Disorder,23557,All ages,23410,Autosomal dominant
21906,329195,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=329195,Developmental delay with autism spectrum disorder and gait instability,Disease,Disorder,23522|23515,Infancy|Neonatal,23417,Autosomal recessive
21905,329191,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=329191,Tall stature-long halluces-multiple extra-epiphyses syndrome,Disease,Disorder,23529,Childhood,23410,Autosomal dominant
21904,329178,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=329178,Congenital muscular dystrophy with intellectual disability and severe epilepsy,Disease,Disorder,23522|23515,Infancy|Neonatal,23417,Autosomal recessive
21919,329258,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=329258,Autosomal dominant Charcot-Marie-Tooth disease type 2Q,Disease,Disorder,23536|23543,Adolescent|Adult,23410,Autosomal dominant
21916,329249,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=329249,Severe early-onset obesity-insulin resistance syndrome due to SH2B1 deficiency,Etiological subtype,Subtype of disorder,23529,Childhood,23410,Autosomal dominant
21914,329242,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=329242,Congenital chronic diarrhea with protein-losing enteropathy,Disease,Disorder,23522|23515,Infancy|Neonatal,23417,Autosomal recessive
21913,329235,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=329235,X-linked central congenital hypothyroidism with late-onset testicular enlargement,Disease,Disorder,23522|23515,Infancy|Neonatal,23431,X-linked recessive
21903,329173,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=329173,Autoinflammatory syndrome with pyogenic bacterial infection and amylopectinosis,Disease,Disorder,23522|23515,Infancy|Neonatal,23417,Autosomal recessive
4511,329,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=329,Congenital factor XI deficiency,Disease,Disorder,23557,All ages,23410|23417,Autosomal dominant|Autosomal recessive
4510,1243,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=1243,Best vitelliform macular dystrophy,Disease,Disorder,23536|23529,Adolescent|Childhood,23410,Autosomal dominant
21843,325524,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=325524,Classic congenital lipoid adrenal hyperplasia due to STAR deficency,Clinical subtype,Subtype of disorder,,,23417,Autosomal recessive
21841,325448,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=325448,Leydig cell hypoplasia due to LHB deficiency,Clinical subtype,Subtype of disorder,,,23417,Autosomal recessive
21844,325529,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=325529,Non-classic congenital lipoid adrenal hyperplasia due to STAR deficency,Clinical subtype,Subtype of disorder,,,23417,Autosomal recessive
21833,325124,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=325124,Testicular agenesis,Morphological anomaly,Disorder,23515,Neonatal,,
21838,325345,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=325345,"46,XY ovotesticular difference of sex development",Disease,Disorder,23508|23515,Antenatal|Neonatal,,
21817,324964,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=324964,Chronic nonbacterial osteomyelitis/Chronic recurrent multifocal osteomyelitis,Disease,Disorder,23536|23529,Adolescent|Childhood,23494,Not applicable
21818,324972,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=324972,MAGIC syndrome,Disease,Disorder,23536|23543|23529,Adolescent|Adult|Childhood,,
21819,324977,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=324977,Proteasome-associated autoinflammatory syndrome,Disease,Disorder,23529|23522|23515,Childhood|Infancy|Neonatal,23417,Autosomal recessive
21811,324936,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=324936,Unclassified autoinflammatory syndrome,Category,Group of disorders,23508|23522|23515,Antenatal|Infancy|Neonatal,,
21801,324718,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=324718,ABetaA21G amyloidosis,Clinical subtype,Subtype of disorder,23543,Adult,23410,Autosomal dominant
21800,324713,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=324713,"ABeta amyloidosis, Italian type",Clinical subtype,Subtype of disorder,23543|23550,Adult|Elderly,23410,Autosomal dominant
21803,324737,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=324737,SRD5A3-CDG,Disease,Disorder,23522|23515,Infancy|Neonatal,23417,Autosomal recessive
21802,324723,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=324723,"ABeta amyloidosis, Arctic type",Clinical subtype,Subtype of disorder,23543|23550,Adult|Elderly,23410,Autosomal dominant
21797,324648,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=324648,Invasive non-typhoidal salmonellosis,Disease,Disorder,23557,All ages,,
21796,324636,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=324636,Autoerythrocyte sensitization syndrome,Disease,Disorder,23543,Adult,,
21799,324708,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=324708,"ABeta amyloidosis, Iowa type",Clinical subtype,Subtype of disorder,23550,Elderly,23410,Autosomal dominant
21798,324703,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=324703,ABetaL34V amyloidosis,Clinical subtype,Subtype of disorder,23543|23550,Adult|Elderly,23410,Autosomal dominant
21793,324611,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=324611,Autosomal dominant Charcot-Marie-Tooth disease type 2 due to KIF5A mutation,Disease,Disorder,23536|23543|23529|23550|23522,Adolescent|Adult|Childhood|Elderly|Infancy,23410,Autosomal dominant
21792,324604,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=324604,Classic multiminicore myopathy,Clinical subtype,Subtype of disorder,23522|23515,Infancy|Neonatal,23417,Autosomal recessive
21795,324632,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=324632,Hendra virus infection,Disease,Disorder,23557,All ages,,
21794,324625,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=324625,Chikungunya,Disease,Disorder,23557,All ages,23494,Not applicable
21790,324588,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=324588,Familial dyskinesia and facial myokymia,Disease,Disorder,23529,Childhood,23410,Autosomal dominant
21791,324601,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=324601,X-linked cleft palate and ankyloglossia,Malformation syndrome,Disorder,23522|23515,Infancy|Neonatal,23445|23431,X-linked dominant|X-linked recessive
21788,324581,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=324581,Benign Samaritan congenital myopathy,Disease,Disorder,23522|23515,Infancy|Neonatal,23417,Autosomal recessive
21789,324585,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=324585,Autosomal dominant intermediate Charcot-Marie-Tooth disease with neuropathic pain,Disease,Disorder,23557,All ages,23410,Autosomal dominant
21786,324569,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=324569,Pontocerebellar hypoplasia type 8,Malformation syndrome,Disorder,23522|23515,Infancy|Neonatal,23417,Autosomal recessive
21787,324575,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=324575,Hyperinsulinism due to HNF1A deficiency,Disease,Disorder,23522|23515,Infancy|Neonatal,23410,Autosomal dominant
21784,324540,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=324540,Aphonia-deafness-retinal dystrophy-bifid halluces-intellectual disability syndrome,Malformation syndrome,Disorder,23522|23515,Infancy|Neonatal,23417,Autosomal recessive
21785,324561,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=324561,Hypopigmentation-punctate palmoplantar keratoderma syndrome,Disease,Disorder,23522|23515,Infancy|Neonatal,23410,Autosomal dominant
21782,324530,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=324530,Autoinflammation-PLCG2-associated antibody deficiency-immune dysregulation,Disease,Disorder,23522|23515,Infancy|Neonatal,23410,Autosomal dominant
21783,324535,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=324535,Combined oxidative phosphorylation defect type 11,Disease,Disorder,23522|23515,Infancy|Neonatal,23417,Autosomal recessive
21781,324525,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=324525,Hypertrophic cardiomyopathy with kidney anomalies due to mitochondrial DNA mutation,Disease,Disorder,23522|23515,Infancy|Neonatal,23487,No data available
21778,324442,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=324442,Autosomal recessive axonal neuropathy with neuromyotonia,Disease,Disorder,23529,Childhood,23417,Autosomal recessive
21776,324416,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=324416,Muscular hypertrophy-hepatomegaly-polyhydramnios syndrome,Malformation syndrome,Disorder,23522|23515,Infancy|Neonatal,23410,Autosomal dominant
21777,324422,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=324422,ALG13-CDG,Disease,Disorder,23522|23515,Infancy|Neonatal,23431,X-linked recessive
21774,324410,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=324410,X-linked intellectual disability-cardiomegaly-congestive heart failure syndrome,Disease,Disorder,23522|23515,Infancy|Neonatal,23431,X-linked recessive
21769,324381,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=324381,Hereditary inclusion body myopathy type 4,Disease,Disorder,23543,Adult,23410,Autosomal dominant
21767,324364,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=324364,Mixed sclerosing bone dystrophy with extra-skeletal manifestations,Disease,Disorder,23515,Neonatal,,
21766,324353,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=324353,Congenital achiasma,Morphological anomaly,Disorder,23522|23515,Infancy|Neonatal,,
21765,324321,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=324321,Sinoatrial node dysfunction and deafness,Disease,Disorder,23522|23515,Infancy|Neonatal,23417,Autosomal recessive
21764,324313,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=324313,9p13 microdeletion syndrome,Malformation syndrome,Disorder,23522|23515,Infancy|Neonatal,23494|23480,Not applicable|Unknown
21763,324307,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=324307,Severe lateral tibial bowing-short stature-mild winged scapula-mild facial dysmorphism syndrome,Malformation syndrome,Disorder,23529,Childhood,23480,Unknown
21762,324299,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=324299,Multiple paragangliomas associated with polycythemia,Disease,Disorder,23529,Childhood,23494,Not applicable
21761,324294,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=324294,T-cell immunodeficiency with epidermodysplasia verruciformis,Disease,Disorder,23529,Childhood,23417,Autosomal recessive
21760,324290,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=324290,PRDM8-related progressive myoclonus epilepsy,Disease,Disorder,23529,Childhood,23417,Autosomal recessive
21758,324262,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=324262,Autosomal recessive congenital cerebellar ataxia due to MGLUR1 deficiency,Clinical subtype,Subtype of disorder,23522|23515,Infancy|Neonatal,23417,Autosomal recessive
21709,320342,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=320342,Pure or complex autosomal dominant spastic paraplegia,Clinical group,Group of disorders,,,23410,Autosomal dominant
21710,320346,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=320346,Pure or complex autosomal recessive spastic paraplegia,Clinical group,Group of disorders,,,23417,Autosomal recessive
21713,320360,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=320360,MT-ATP6-related mitochondrial spastic paraplegia,Disease,Disorder,23543,Adult,23438,Mitochondrial inheritance
21712,320355,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=320355,Autosomal dominant spastic paraplegia type 41,Disease,Disorder,23536|23543,Adolescent|Adult,23410,Autosomal dominant
21715,320370,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=320370,Autosomal recessive spastic paraplegia type 43,Disease,Disorder,23536|23529,Adolescent|Childhood,23417,Autosomal recessive
21714,320365,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=320365,Autosomal dominant spastic paraplegia type 36,Disease,Disorder,23536|23543,Adolescent|Adult,23410,Autosomal dominant
21717,320380,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=320380,Autosomal recessive spastic paraplegia type 54,Disease,Disorder,23529|23522,Childhood|Infancy,23417,Autosomal recessive
21716,320375,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=320375,Autosomal recessive spastic paraplegia type 55,Disease,Disorder,23529,Childhood,23417,Autosomal recessive
21719,320391,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=320391,Autosomal recessive spastic paraplegia type 46,Disease,Disorder,23529|23522,Childhood|Infancy,23417,Autosomal recessive
21718,320385,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=320385,Hereditary sensory and autonomic neuropathy due to TECPR2 mutation,Disease,Disorder,23522,Infancy,23417,Autosomal recessive
21721,320401,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=320401,Autosomal recessive spastic paraplegia type 44,Disease,Disorder,23536|23543,Adolescent|Adult,23417,Autosomal recessive
21720,320396,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=320396,Autosomal recessive spastic paraplegia type 45,Disease,Disorder,23522,Infancy,23417,Autosomal recessive
21723,320411,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=320411,Autosomal recessive spastic paraplegia type 56,Disease,Disorder,23529|23522|23515,Childhood|Infancy|Neonatal,23417,Autosomal recessive
21722,320406,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=320406,Spastic paraplegia-optic atrophy-neuropathy syndrome,Disease,Disorder,23529|23522,Childhood|Infancy,23417,Autosomal recessive
21670,319543,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=319543,Autosomal dominant mendelian susceptibility to mycobacterial diseases due to a partial deficiency,Category,Group of disorders,,,23410,Autosomal dominant
21671,319547,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=319547,Mendelian susceptibility to mycobacterial diseases due to complete IFNgammaR2 deficiency,Disease,Disorder,23522|23515,Infancy|Neonatal,23417,Autosomal recessive
21668,319535,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=319535,Autosomal recessive mendelian susceptibility to mycobacterial diseases due to a complete deficiency,Category,Group of disorders,23557,All ages,23417,Autosomal recessive
21669,319539,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=319539,Autosomal recessive mendelian susceptibility to mycobacterial diseases due to a partial deficiency,Category,Group of disorders,23557,All ages,23417,Autosomal recessive
21666,319519,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=319519,Combined oxidative phosphorylation defect type 14,Disease,Disorder,23522|23515,Infancy|Neonatal,23417,Autosomal recessive
21667,319524,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=319524,Combined oxidative phosphorylation defect type 15,Disease,Disorder,23529|23522,Childhood|Infancy,23417,Autosomal recessive
21664,319509,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=319509,Combined oxidative phosphorylation defect type 9,Disease,Disorder,23522,Infancy,23417,Autosomal recessive
21665,319514,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=319514,Combined oxidative phosphorylation defect type 13,Disease,Disorder,23522,Infancy,23417,Autosomal recessive
21678,319589,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=319589,Autosomal dominant mendelian susceptibility to mycobacterial diseases due to partial IFNgammaR2 deficiency,Disease,Disorder,23522,Infancy,23410,Autosomal dominant
21679,319595,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=319595,Mendelian susceptibility to mycobacterial diseases due to partial STAT1 deficiency,Disease,Disorder,23529,Childhood,23410,Autosomal dominant
21676,319574,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=319574,Autosomal recessive mendelian susceptibility to mycobacterial diseases due to partial IFNgammaR2 deficiency,Disease,Disorder,23522,Infancy,23417,Autosomal recessive
21677,319581,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=319581,Autosomal dominant mendelian susceptibility to mycobacterial diseases due to partial IFNgammaR1 deficiency,Disease,Disorder,23536,Adolescent,23410,Autosomal dominant
21674,319563,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=319563,Mendelian susceptibility to mycobacterial diseases due to complete ISG15 deficiency,Disease,Disorder,23529,Childhood,23417,Autosomal recessive
21675,319569,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=319569,Autosomal recessive mendelian susceptibility to mycobacterial diseases due to partial IFNgammaR1 deficiency,Disease,Disorder,23522,Infancy,23417,Autosomal recessive
21672,319552,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=319552,Mendelian susceptibility to mycobacterial diseases due to complete IL12RB1 deficiency,Disease,Disorder,23529,Childhood,23417,Autosomal recessive
21673,319558,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=319558,Mendelian susceptibility to mycobacterial diseases due to complete IL12B deficiency,Disease,Disorder,23522|23515,Infancy|Neonatal,23417,Autosomal recessive
21687,319651,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=319651,Constitutional megaloblastic anemia with severe neurologic disease,Disease,Disorder,23529|23522,Childhood|Infancy,23417,Autosomal recessive
21686,319646,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=319646,PGM1-CDG,Disease,Disorder,23522|23515,Infancy|Neonatal,23417,Autosomal recessive
21685,319640,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=319640,Retinal macular dystrophy type 2,Disease,Disorder,23536|23543,Adolescent|Adult,23410,Autosomal dominant
21684,319635,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=319635,Amyloidosis cutis dyschromia,Disease,Disorder,23529,Childhood,23417,Autosomal recessive
21681,319605,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=319605,X-linked mendelian susceptibility to mycobacterial diseases,Disease,Disorder,23536|23529|23522,Adolescent|Childhood|Infancy,23431,X-linked recessive
21680,319600,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=319600,Mendelian susceptibility to mycobacterial diseases due to partial IRF8 deficiency,Disease,Disorder,23522|23515,Infancy|Neonatal,23410,Autosomal dominant
21692,319678,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=319678,Encephalopathy-hypertrophic cardiomyopathy-renal tubular disease syndrome,Disease,Disorder,23515,Neonatal,23417,Autosomal recessive
21691,319675,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=319675,"Microcephalic primordial dwarfism, Dauber type",Malformation syndrome,Disorder,23508|23515,Antenatal|Neonatal,23417,Autosomal recessive
21690,319671,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=319671,Alazami syndrome,Malformation syndrome,Disorder,23508|23515,Antenatal|Neonatal,23417,Autosomal recessive
21636,319254,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=319254,Kyasanur forest disease,Disease,Disorder,23557,All ages,,
21637,319266,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=319266,Omsk hemorrhagic fever,Disease,Disorder,23557,All ages,,
21639,319276,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=319276,Clear cell renal carcinoma,Disease,Disorder,23543|23550,Adult|Elderly,23494,Not applicable
21632,319239,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=319239,Brazilian hemorrhagic fever,Disease,Disorder,23557,All ages,,
21633,319244,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=319244,Chapare hemorrhagic fever,Disease,Disorder,23557,All ages,,
21635,319251,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=319251,Rift valley fever,Disease,Disorder,23557,All ages,,
21645,319319,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=319319,Renal medullary carcinoma,Disease,Disorder,23543,Adult,,
21646,319322,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=319322,Mucinous tubular and spindle cell renal carcinoma,Disease,Disorder,23536|23543|23550,Adolescent|Adult|Elderly,,
21647,319325,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=319325,Tubulocystic renal cell carcinoma,Disease,Disorder,23543|23550,Adult|Elderly,,
21641,319298,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=319298,Papillary renal cell carcinoma,Disease,Disorder,23543|23550,Adult|Elderly,23494,Not applicable
21642,319303,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=319303,Chromophobe renal cell carcinoma,Disease,Disorder,23543|23550,Adult|Elderly,,
21643,319308,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=319308,MiT family translocation renal cell carcinoma,Disease,Disorder,23536|23543|23529|23550|23522,Adolescent|Adult|Childhood|Elderly|Infancy,,
21649,319332,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=319332,Autosomal recessive myogenic arthrogryposis multiplex congenita,Disease,Disorder,23515,Neonatal,23417,Autosomal recessive
21650,319340,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=319340,Carney complex-trismus-pseudocamptodactyly syndrome,Disease,Disorder,23515,Neonatal,23494,Not applicable
21661,319487,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=319487,Familial papillary or follicular thyroid carcinoma,Disease,Disorder,23543,Adult,23494,Not applicable
21660,319480,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=319480,Acute myeloid leukemia with CEBPA somatic mutations,Disease,Disorder,,,23494,Not applicable
21663,319504,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=319504,Combined oxidative phosphorylation defect type 8,Disease,Disorder,23522|23515,Infancy|Neonatal,23417,Autosomal recessive
21659,319465,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=319465,Inherited acute myeloid leukemia,Disease,Disorder,,,23410,Autosomal dominant
21658,319462,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=319462,Inherited cancer-predisposing syndrome due to biallelic BRCA2 mutations,Disease,Disorder,,,23417,Autosomal recessive
21627,319213,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=319213,Lujo hemorrhagic fever,Disease,Disorder,23557,All ages,,
21624,319195,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=319195,Chondroectodermal dysplasia with night blindness,Disease,Disorder,23522|23515,Infancy|Neonatal,,
21625,319199,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=319199,Autosomal recessive spastic paraplegia type 53,Disease,Disorder,23522,Infancy,23417,Autosomal recessive
21630,319229,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=319229,Bolivian hemorrhagic fever,Disease,Disorder,23557,All ages,,
21631,319234,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=319234,Venezuelan hemorrhagic fever,Disease,Disorder,23557,All ages,,
21628,319218,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=319218,Ebola hemorrhagic fever,Disease,Disorder,23557,All ages,23494,Not applicable
21629,319223,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=319223,Argentine hemorrhagic fever,Disease,Disorder,23557,All ages,,
21618,319160,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=319160,Congenital myopathy with internal nuclei and atypical cores,Disease,Disorder,23515,Neonatal,23410,Autosomal dominant
21619,319171,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=319171,Distal 17p13.1 microdeletion syndrome,Malformation syndrome,Disorder,23522|23515,Infancy|Neonatal,23494,Not applicable
21622,319189,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=319189,Familial cortical myoclonus,Disease,Disorder,23543,Adult,23410,Autosomal dominant
21623,319192,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=319192,Diencephalic-mesencephalic junction dysplasia,Morphological anomaly,Disorder,,,23417,Autosomal recessive
21621,319182,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=319182,Wiedemann-Steiner syndrome,Malformation syndrome,Disorder,23529|23522|23515,Childhood|Infancy|Neonatal,23410,Autosomal dominant
21581,317428,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=317428,Combined immunodeficiency due to ORAI1 deficiency,Clinical subtype,Subtype of disorder,23522|23515,Infancy|Neonatal,23417,Autosomal recessive
21580,317425,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=317425,Severe combined immunodeficiency due to DNA-PKcs deficiency,Disease,Disorder,23522|23515,Infancy|Neonatal,23417,Autosomal recessive
21582,317430,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=317430,Combined immunodeficiency due to STIM1 deficiency,Clinical subtype,Subtype of disorder,23522|23515,Infancy|Neonatal,23417,Autosomal recessive
21584,317473,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=317473,Common variable immunodeficiency phenotype due to IKAROS functional haploinsufficiency,Disease,Disorder,23536|23543|23529|23522|23515,Adolescent|Adult|Childhood|Infancy|Neonatal,23410,Autosomal dominant
