,VEC_DIM,PMD,CMBZ,GS,DIST_A,DIST_B,DIST_C,CONFIG_TIME,COMPUTE_TIME
16666,10000.0,15.0,"[60, 40, 60]",30.0,8.666130636801769e-06,8.744808387268085e-06,0.9975679924936877,0.8060636520385742,0.26514601707458496
16667,10000.0,15.0,"[60, 40, 60]",40.0,8.51661108757435e-09,8.482294816364823e-09,1.607879241085622e-07,0.8263130187988281,0.2577803134918213
16668,10000.0,13.0,"[60, 30, 60]",20.0,0.00224135565686009,0.0022440859413105875,2.1541465922459504,0.2288825511932373,0.08004212379455566
16669,10000.0,13.0,"[60, 30, 60]",30.0,2.1927534011903167e-06,2.2221541207624513e-06,0.0017748326223859419,0.21871137619018555,0.08737802505493164
16670,10000.0,13.0,"[60, 30, 60]",40.0,2.1387258501357503e-09,2.1613221547232865e-09,1023.0469001710468,0.22567391395568848,0.08123159408569336
16671,10000.0,13.0,"[60, 40, 60]",20.0,0.0022491071059567848,0.0022710633414176943,0.50240262238237,0.21795201301574707,0.08436369895935059
16672,10000.0,13.0,"[60, 40, 60]",30.0,2.2182503796260235e-06,2.1668039775180996e-06,0.9998501223641599,0.22424793243408203,0.08429121971130371
16673,10000.0,13.0,"[60, 40, 60]",40.0,2.1309812578027583e-09,2.1501574021844996e-09,1.4516471389530056e-06,0.21500086784362793,0.08696532249450684
16674,10000.0,14.0,"[60, 30, 60]",20.0,0.004548000275712355,0.004504104949543738,6.993293363575377,0.43495988845825195,0.13096904754638672
16675,10000.0,14.0,"[60, 30, 60]",30.0,4.448402552999553e-06,4.469385936795847e-06,0.009619399083558586,0.5727906227111816,0.15452361106872559
16676,10000.0,14.0,"[60, 30, 60]",40.0,4.378987817787714e-09,4.284091980903151e-09,1023.0937446163472,0.4247121810913086,0.13123273849487305
16677,10000.0,14.0,"[60, 40, 60]",20.0,0.004464202733429716,0.004524863453078139,1.0592464332158016,0.4466817378997803,0.1451869010925293
16678,10000.0,14.0,"[60, 40, 60]",30.0,4.349358809418449e-06,4.2731746662498665e-06,0.9989959683438091,0.47275376319885254,0.16033148765563965
16679,10000.0,14.0,"[60, 40, 60]",40.0,4.288519735533474e-09,4.377911485803722e-09,1.1904657077134748e-06,0.5530593395233154,0.14872097969055176
16680,10000.0,15.0,"[60, 30, 60]",20.0,0.008945243631685851,0.009107992381659304,6.98608343189271,0.853858232498169,0.25570178031921387
16681,10000.0,15.0,"[60, 30, 60]",30.0,8.783836696672367e-06,8.644647903408383e-06,0.00459225071350615,0.7921016216278076,0.2542757987976074
16682,10000.0,15.0,"[60, 30, 60]",40.0,8.604315385656675e-09,8.681422687029408e-09,1023.25004900363,0.8985745906829834,0.2573971748352051
16683,10000.0,15.0,"[60, 40, 60]",20.0,0.009141085846000967,0.008997017363725188,15.994929534525287,0.8159518241882324,0.27617478370666504
16684,10000.0,15.0,"[60, 40, 60]",30.0,8.827114906185507e-06,8.983641777015153e-06,0.9863966644687283,0.8754971027374268,0.25644898414611816
16685,10000.0,15.0,"[60, 40, 60]",40.0,8.664282824665785e-09,8.595210181733381e-09,1.3005497249159284e-05,1.0701770782470703,0.3129308223724365
16686,10000.0,13.0,"[60, 30, 60]",20.0,0.00222425923327385,0.0022568949515437216,0.39337815792747244,0.2518632411956787,0.0879983901977539
16687,10000.0,13.0,"[60, 30, 60]",30.0,2.22609718459567e-06,2.1864068463307587e-06,0.00015620763074536217,0.2512474060058594,0.10501503944396973
16688,10000.0,13.0,"[60, 30, 60]",40.0,2.178678708608802e-09,2.1327182470734254e-09,1023.0469073692515,0.23969268798828125,0.08828115463256836
16689,10000.0,13.0,"[60, 40, 60]",20.0,0.0022871965088252576,0.0022457497226741,5.64827392784249,0.22950387001037598,0.07624626159667969
16690,10000.0,13.0,"[60, 40, 60]",30.0,2.232355632474536e-06,2.2052040805577395e-06,0.9985955300192253,0.22440052032470703,0.08366918563842773
16691,10000.0,13.0,"[60, 40, 60]",40.0,2.1139375185700657e-09,2.1015547076541267e-09,1.631191937925963e-08,0.23643922805786133,0.0893547534942627
16692,10000.0,14.0,"[60, 30, 60]",20.0,0.004482124776689354,0.004543446707176294,2.32078184236106,0.569244384765625,0.15998029708862305
16693,10000.0,14.0,"[60, 30, 60]",30.0,4.378883987827307e-06,4.377855489025221e-06,0.004175341498207374,0.6241097450256348,0.165863037109375
16694,10000.0,14.0,"[60, 30, 60]",40.0,4.25850403834101e-09,4.2432414060900175e-09,1023.0937123685559,0.5627548694610596,0.1551837921142578
16695,10000.0,14.0,"[60, 40, 60]",20.0,0.0044224874527488455,0.004483112774095161,4.9992549688728625,0.5696303844451904,0.16748714447021484
16696,10000.0,14.0,"[60, 40, 60]",30.0,4.437954828001011e-06,4.403549498801332e-06,1.005450640717262,0.6091070175170898,0.17105555534362793
16697,10000.0,14.0,"[60, 40, 60]",40.0,4.39764304206278e-09,4.262551980936341e-09,2.7032932881219827e-06,0.5576577186584473,0.1613292694091797
16698,10000.0,15.0,"[60, 30, 60]",20.0,0.009092531433685101,0.008907013005302849,18.33148431478725,1.1817700862884521,0.272843599319458
16699,10000.0,15.0,"[60, 30, 60]",30.0,8.89323033389315e-06,8.822340684140535e-06,0.033570927689274166,0.9802124500274658,0.32939910888671875
16700,10000.0,15.0,"[60, 30, 60]",40.0,8.49621388397282e-09,8.525324941204103e-09,1023.2501193797941,1.1124053001403809,0.2739219665527344
16701,10000.0,15.0,"[60, 40, 60]",20.0,0.009053240194021879,0.009065290790748283,6.971948331590217,0.9169645309448242,0.30557918548583984
16702,10000.0,15.0,"[60, 40, 60]",30.0,8.787311230718663e-06,8.799731321078384e-06,0.9640570816027814,1.0039632320404053,0.2870755195617676
16703,10000.0,15.0,"[60, 40, 60]",40.0,8.590476715178699e-09,8.727278071734954e-09,2.732360475927822e-05,0.8730652332305908,0.3010752201080322
16704,10000.0,13.0,"[60, 30, 60]",20.0,0.0021905781572667347,0.002205579908267292,1.6227146121166107,0.228485107421875,0.07882452011108398
